partner,number,name,purpose,summary,benefits,prerequisiteTools,link_1_title,link_1_url,link_2_title,link_2_url,link_3_title,link_3_url,link_4_title,link_4_url,description,instructions,outcomes,
ACEEU,1,The Entrepeneurial Wall Pack ,Entrepreneurial Awareness & Sensitization,"The Entrepreneurial Wall Pack offers ready-to-print quotes and templates and an AI guide to create tailored content. Ideal for faculty and university to spark entrepreneurial thinking in cafés, co-working spaces and other campus areas.","This tool empowers faculty and university staff to foster an entrepreneurial culture by enriching campus spaces, like cafés and co-working areas, with motivational, tailored content that sparks creativity, engagement, and entrepreneurial thinking.","1. Canva or any design tool
2. A generative AI tools like ChatGPT 
3. Printer and paper ","The Entrepeneurial Wall Pack: Templates, Quotes & AI Guide",,,,,,,,"Entrepreneurial Wall Pack is designed for faculty and university staff aiming to foster a culture of entrepreneurship through inspiring campus visuals. It includes ready-to-print designs with motivational quotes, practical tips, and action-oriented messages.
The pack also offers an Inspiration Library with curated phrases, editable templates for custom content, and an AI guide (using tools like ChatGPT) to help generate personalized messages tailored to your institution. Perfect for transforming libraries, cafeterias, or co-working spaces into entrepreneurial environments","1. Explore the Templates
Browse the pre-designed templates in the PDF. Choose those that best align with your university’s mission and entrepreneurial goals.
2. Print & Display
Print your selected templates and place them in high-visibility areas such as libraries, cafeterias, co-working spaces, or classrooms.
3. Generate Custom Content with AI
Use the included AI guide to create personalized quotes, tips, or messages. Follow the simple steps to craft effective prompts using tools like ChatGPT.
4. Customize with Editable Templates
Add your AI-generated or original content to the blank templates provided. You can also design new materials using your preferred tools.
5. Activate & Engage
Use the visuals as conversation starters during workshops, events, or entrepreneurship programs. Strategically place them around campus to inspire daily interaction.","University walls, libraries, and co-working areas are transformed with inspiring posters and quotes, visibly promoting an entrepreneurial culture.

Increased student participation in entrepreneurship events and workshops, with positive feedback highlighting a sense of motivation and inspiration from the environment.

Universities generate tailored messages and tips that reflect their unique mission and values.

Students engage in informal idea-sharing and brainstorming in common spaces, fostering peer-driven creativity.

Faculty integrate the tool into lectures, classroom discussions, or entrepreneurship projects, extending its impact into academic settings.",
ACEEU,2,Entrepreneurial Dictionary  ,Entrepreneurial Vision and Institutional Commitment,"A fun, accessible entrepreneurial dictionary for students, staff & researchers to understand key entrepreneurship terms without fear or confusion","This tool makes entrepreneurship approachable and engaging for academic audiences by simplifying key concepts with clarity and humor. It helps faculty and staff connect with entrepreneurial thinking in a way that feels relevant, accessible—and even fun",1. An electronic device with WI-FI to visualize the dictionary,Entrepreneurial Dictionary  ,,,,,,,,"The Entrepreneurial Dictionary is designed to help universities and individuals better understand entrepreneurial concepts in a simple, funny way. It breaks down key terms often misunderstood or intimidating, helping reduce fear and misconceptions around entrepreneurship. It is designed for students, faculty members or university staff curious about the entrepreneurial mindset. This tool offers clear definitions, examples, and real-world context to make entrepreneurial language accessible to everyone","1. Open the PDF and review the list of entrepreneurial terms and definitions.
2. Select the terms that are most relevant to your university's goals and educational programs.
3. Print or share the dictionary digitally with students, faculty, and staff.
4. Use the terms in lectures, workshops, and group discussions to enhance entrepreneurial learning
5. Incorporate the definitions into course materials, presentations, and assignments.
6. Encourage students to refer to the dictionary when working on entrepreneurial projects.","
Students and faculty will build confidence and clarity around key entrepreneurial terms. A shared language fosters better collaboration across departments. The tool supports learning in courses, mentorship, and innovation hubs, while also inviting self-paced exploration.
",
ACEEU,3,Entrepreneurial KPI Dashboard ,Entrepreneurial Vision and Institutional Commitment,"An entrepreneurial KPI Excel ashboard designed to help university staff efficiently evaluate, monitor, and track the performance of entrepreneurship education using relevanT Key Perfomance Indicators (KPIs)","This tool enables universities to effectively define and monitor a comprehensive set of key performance indicators (KPIs) for entrepreneurship education, supporting data-driven insights and continuous enhancement of their Entrepreneurial Education.",1. Excel with Macros activated,Entrepreneurial KPI Dashboard ,,Dashboard Intructions ,,,,,,"The Entrepreneurial KPI Dashboard is an Excel tool is designed to assist universities in evaluating and improving their entrepreneurship education initiatives. It provides a structured yet flexible framework that allows institutions to select relevant KPIs, set customized targets, and monitor progress effectively. The tool can be tailored to specific institutional needs by adding new indicators, ensuring a comprehensive and adaptive approach to performance tracking.","1. Download the PDF to read the detailed instructions and the Excel File.
2. Explore the Excel file.
3. Set Up the Tool.
4. Determine Relevant KPIs.
5. Customize KPI Details.
6. Monitor and Track Progress",Universities start using more established and complex KPIs on different aspects of the entrepreneurship education. A structured and data-driven approach to measuring entrepreneurship education performance. Improved accountability across departments with clear ownership of responsibilities. Strengthened decision-making through consistent and transparent reporting.,
ACEEU,4,EngageTree: Unlock Faculty Entrepreneurship,"Staff & Faculty Motivation, Incentives & Recognition","The EngageTree is a decision-making chart that helps university leaders quickly identify barriers to faculty engagement in entrepreneurship and find effective, ready-to-implement incentives to boost participation.","This tool helps university leaders identify key barriers to faculty engagement in entrepreneurship and discover tailored, low-cost incentive strategies, boosting motivation, awareness, and participation through an easy-to-use decision tree format","1. Mural account to copy the template  
2. Alternatively, a printer and paper to print the chart ",EngageTree: Unlock Faculty Entrepreneurship,,,,,,,,"The tool is designed to support universities in identifying and implementing strategies to motivate faculty and staff to engage in entrepreneurial education. It presents an interactive pathway that helps institutions assess their current support landscape and guides them toward actionable incentive strategies. These may include financial incentives, professional development opportunities, public recognition, or other non-monetary rewards to encourage faculty participation in entrepreneurial initiatives.","Instructions
1. Open the mural link and explore the tool.

2-Begin by answering the first question and navigate through the flow by selecting ""Yes"" or ""No"" to each question.

3. If challenges exist, assess the primary barrier (e.g., funding, awareness, motivation, recognition) and use the guided questions to pinpoint specific areas of concern.

4. Based on the identified challenges, review suggested solutions.

5. Select and apply the most relevant solutions and monitor their impact on faculty engagement.

6. If necessary, print the map to use it with your team.","Increased faculty engagement in entrepreneurship education through targeted, barrier-specific incentives. More effective use of existing resources by applying low-cost, high-impact strategies. Greater faculty awareness of entrepreneurial opportunities and support. Strengthened institutional culture that values and rewards entrepreneurial activity.",
ACEEU,5,Entrepreneurial Resource Mapping Journey,"Staff & Faculty Motivation, Incentives & Recognition","The Entrepreneurial Resource Mapping Journey is a 7 step canvas with guided questions, designed to help university leaders visualize, assess, and strengthen institutional support for entrepreneurship in a clear and actionable way.","This tool enables university leaders to map, assess, and optimize support for entrepreneurial activities by identifying resources, addressing gaps, clarifying responsibilities, and creating actionable plans to proper proper use and maximize the impact of resources. 

","1. Ideally, access to a digital collaboration platform like Mural or Miro for interactive use.
2. Alternatively, a printer and paper to print the canvas for manual completion. ",Entrepreneurial Resource Mapping Journey,,,,,,,,"The Entrepreneurial Resource Mapping Tool is an interactive Mural template designed to help universities visually organize and optimize their entrepreneurial resources. It provides a structured framework that guides faculty and staff through a step-by-step process to identify, categorize, and assess available resources, such as funding, facilities, and support programs. The tool allows universities to pinpoint gaps, clarify responsibilities, and develop action plans for better resource utilization.","1. Open the provided link to the Entrepreneurial Resource Mapping Tool.

2. To start using the tool, click on the'Duplicate' option in the Mural interface. This allows you to create an editable version for your institution.

3. The tool is divided into seven clear steps—each designed to guide you through different phases of resource mapping.

4. Add ideas, categorize resources, and document insights using color-coded sticky notes provided in each step.

5. Once completed, analyze the results and take necessary actions to optimize and improve your entrepreneurial resource strategy.","Universities gain a clear overview of their entrepreneurial resources and make more informed, strategic decisions about how to allocate and enhance them.",
ACEEU,6,Entrepreneurial Competency Assessment Tool,Continuous Innovation in Entrepreneurship Education,"Entrepreneurial Competency Assessment Tool equips university leaders and decision-makers with a practical, EntreComp-based resource to identify, evaluate, and develop entrepreneurial competencies in recruitment and professional development processes.","This tool supports university leaders in integrating entrepreneurship into academic career paths by providing a structured and standardized method to assess entrepreneurial competencies. It helps institutions make informed hiring and professional development decisions, ensuring entrepreneurial competencies are valued and cultivated across academic environments.","1. Access to Microsoft Word
2. Alternatively, a printer and paper to print the scenarios",Entrepreneurial Competency Assessment Tool,,,,,,,,"The tool provides ready-to-use templates and case scenarios that simplify the evaluation of entrepreneurial skills relevant to academic contexts, ensuring a consistent and insightful assessment process. The tool is based on the EntreComp Framework where 12 core competencies were selected. For each of these competencies, the tool has an individual template designed to assess entrepreneurial proficiency through realistic scenarios tailored for academia. Additionally, the tool includes general case scenarios that assess multiple competencies simultaneously.","Instructions
1. Download the provided templates and review the competencies covered.
2. Choose the templates that match the role or development goals you want to assess.
3. Give the selected scenario to the candidate or staff member for response.
4. Compare the response with the provided proficiency levels to determine their level.
5. Provide feedback and suggest areas for improvement based on the assessment.
6. Use the general case scenarios for a broader evaluation of multiple competencies.
7. Apply the results to make informed recruitment decisions or create development plans.","Universities can establish a standardized framework for evaluating entrepreneurial competencies in recruitment and staff development. Gain deeper insights into the entrepreneurial potential of faculty and staff, enabling better alignment with institutional goals. Improved selection and development of educators with entrepreneurial competencies. Faculty and staff become more aware of their entrepreneurial strengths and areas for development.",
ACEEU,7,EntreComp Integration Canvas,Continuous Innovation in Entrepreneurship Education,"A visual tool helping educators design courses with EntreComp, using a structured canvas and guiding cards to plan, assess, and monitor entrepreneurial competencies.","This tool helps educators to identiy and assess students' individual entrepreneurial strenghts, weaknesses, types and skill sets. ","1. Mural account to cppy the canvas.
2. Alternatively, a printer and paper to print the canvas and cards ",Course Design Canvas ,,Course Design  Cards 1 ,,Course Design  Cards 2,,,,The EntreComp Integration Canvas is a visualisation tool that provides a holistic overview of the components needed to create a course where entrepreneurial competencies are included. The Canvas includes a set of cards to guide educators on the filling out of the canvas by giving them trigger questions on each part of the canvas. By the end they will have all the necessary information an elements to implement and monitor a course.,"1. Download the Canvas and print them if necessary.

2. Download the Cards and print them if necessary.

3. Use the Cards to fill out each part of the canvas. Try to collaborate with other colleagues to discuss the questions and information included on the cards

4. Design the course according to the filled Canvas.",Increased awareness and understanding of EntreComp competencies.Integration of EntreComp competencies into the courses of any field. Development of entrepreneurial competencies among the students. Assessment of the entrepreneurial competencies at the beginning and at the end of a course.,
ACEEU,8,EntreComp AI & VR Resource Guide,Continuous Innovation in Entrepreneurship Education,"The EntreComp AI & VR Resource Guide equips universities and educators with practical recommendations of free, open-source AI and VR digital tools aligned with the EntreComp Framework to modernize entrepreneurship education.","This tool supports institutions in seamlessly integrating innovative digital technologies into their entrepreneurship programs, ensuring education stays current with technological trends and meets evolving educational demands.",Internet connection and access to the desired AI tools,EntreComp AI & VR Resource Guide,,,,,,,,"This guide is designed to help universities and educators integrate digital tools into entrepreneurship education, aligning with current trends and educational demands. Based on the EntreComp Framework, this resource recommends free, open-source AI and VR tools that can support different stages of the entrepreneurial journey. ","1. Identify which stage of the entrepreneurial journey your students are in. 2. Explore the suggested tools for each stage. 3.  Use the tools in lessons, projects, and activities. 4. Review how well the tools work and adjust as needed.","Students and educators begin to integrate AI and VR tools into entrepreneurship education, exploring their potential in real entrepreneurial projects. Universities cultivate a more technology-driven entrepreneurial culture, equipping students to meet the demands of today’s business world. As a result, learners enhance their ability to spot market trends, generate innovative business ideas, and develop digital prototypes for entrepreneurial ventures.

",
ACEEU,9,Grant Application Roadmap,Entrepreneurship Education Planning & Financing,"The Grant Application Roadmap guide researchers or staff to navigate EU and regional funding opportunities, detailing eligibility criteria, providing step-by-step application instructions, and sharing practical tips to help craft competitive grant proposals.","This tool empowers applicants to confidently identify and secure funding for entrepreneurship programs, addressing resource gaps and enabling sustainable growth of entrepreneurship education initiatives.",Internet connection ,Grant Application Roadmap,,,,,,,,"This Grant Application Guideline aims to help applicants for funding opportunities by providing a roadmap for identifying, applying for, and successfully securing funding for entrepreneurship initiatives. Its purpose is to equip universities and academics with practical knowledge and strategies for effectively accessing financial resources. ","1. Download the PDF , read the introduction and explore the different sections.

2. Identify relevant funding programs from the provided resources and assess their objectives and eligibility criteria.

3. Compare your projects scope, partnerships, and objectives with the criteria listed for each funding opportunity.

4. Use the step-by-step guide to write a good proposal.

5. Refer to the provided checklists for each step to ensure no details are missed during preparation.

6. Use the tips section to refine your applications.","
Improved awareness and understanding of EU and regional funding opportunities for entrepreneurship and research. Strengthened capacity to develop competitive, high-quality grant proposals aligned with institutional priorities. Enhanced ability to meet eligibility requirements and comply with EU funding regulations. Increased access to financial resources that support innovation, entrepreneurial initiatives, and academic advancement.

",
EUEI,10,"Planning and Financing of Entrepreneurship Education
",Entrepreneurship Education Planning & Financing,"Designed for faculty, finance staff, and innovation teams, this tool helps universities identify, track, and plan financial investments in entrepreneurship education to support data-informed strategic decisions.","This tool helps universities gain a clear overview of financial investments in entrepreneurship education. It supports better planning, resource allocation, and alignment with institutional goals by collecting input across departments and enabling data-driven decisions.",Internet access,Financial Planning Google Form Template,,,,,,,,"Planning and Financing of Entrepreneurship Education is a ready-to-use template for faculty, finance teams, and innovation staff. It offers a structured way to collect and analyse data on financial investments in entrepreneurship education across faculties and departments. The tool supports improved planning, highlights gaps or inefficiencies, and helps align resources with the university’s strategic entrepreneurship goals.","This is a template that universities or organisations can adapt and remake to suit their own context. The steps below guide users through collecting and using financial data to inform strategic planning.

1. Distribute the Survey
Share the Google Form survey link with key representatives from faculties such as Business, Engineering, Social Sciences, Science, and departments including Finance and Entrepreneurship Centres.

2. Request Qualitative and Quantitative Input
Ask each respondent to provide both financial data (e.g. budgets, spending figures) and qualitative insights on how entrepreneurship-related funds are used.

3. Gather and Consolidate Responses
Use Google Forms to automatically collect input. Export the responses for further analysis or review key trends using built-in reporting features.

4. Generate Initial Findings
Identify overall investment levels, primary funding sources, and how funds are allocated across departments. Note any missing data or unclear spending.

5. Identify Strategic Opportunities
Spot underfunded areas (e.g. incubators or student startup support) and compare departmental investment levels against overall entrepreneurship education goals.

6. Report and Recommend Actions
Present your findings to leadership. Use the insights to suggest improvements in resource distribution or to embed regular financial tracking into university planning processes.","Using this template, universities can develop a clear, data-informed overview of how much is currently being invested in entrepreneurship education. It helps identify where resources are missing, duplicated, or under-used, enabling more effective alignment with strategic goals. The process supports stronger planning and prioritisation by providing reliable financial insights. It also improves transparency and accountability, allowing institutions to demonstrate the value of their entrepreneurship efforts to leadership and stakeholders. Over time, this tool can serve as the foundation for more consistent tracking and better-informed funding decisions.",
EUEI,11,Entrepreneurial Mindset and Competence Self-Assessment,Fostering an Entrepreneurial Mindset & Culture,"Entrepreneurial Mindset and Competence Self-Assessment is designed for students, educators, and early-stage entrepreneurs. It helps users understand their entrepreneurial strengths and development areas across mindset, emotional intelligence, and social responsibility.","Many individuals lack key entrepreneurial competencies needed in today’s world. This tool helps users assess their mindset, emotional intelligence, social responsibility, and inclusion awareness. It supports personal growth by offering insights and practical steps for development.",Internet access,Entrepreneurial Mindset and Competence Self-Assessment,https://thevisionworks.brilliantassessments.com/Home/Index/?responseCode=xHdoS1gx68ycu25ZdTEcnkvwmKxlTZwi71RrAoSD7temxn5ZWucFMntqn4YMTzAIYUhymTpL0uSLZIYtKl4wrDslAshrbQ9PBjExNzE2OTceQu0aLs,,,,,,,"Entrepreneurial Mindset and Competence Self-Assessment is designed for students, educators, and aspiring entrepreneurs. It helps users evaluate their entrepreneurial mindset and core competencies, including emotional intelligence, social responsibility, and inclusion. Through a structured online questionnaire, individuals receive personalised feedback and practical recommendations to guide their development and better prepare for entrepreneurial challenges.","1. Access the Assessment
Share the Brilliant Assessments link with students, educators, or aspiring entrepreneurs interested in evaluating their entrepreneurial mindset and skills.

2. Complete the Questionnaire
Ask participants to respond honestly and thoughtfully to ensure accurate and meaningful feedback.

3. Receive Personalised Results
Upon completion, users receive a detailed report outlining their strengths and development areas across three core areas:
- Ideas and Opportunities
- Resources
- Into Action

4. Review and Reflect
Encourage users to review their results carefully to understand where they are confident and where they may need further development.

5. Take Action
Guide users to follow the tailored recommendations provided in the report. These may include suggestions for specific learning activities or behaviours to focus on.

6. Explore Further Resources
Recommend engaging with Start DSP or other learning tools to build on the insights from the assessment and support ongoing development.
","By using this tool, individuals gain a deeper understanding of their entrepreneurial mindset and core competencies. The personalised feedback helps them identify both strengths and areas for development in key domains such as emotional intelligence, creativity, and social responsibility. This increased self-awareness enables more focused learning and skill-building. Users are better prepared to take entrepreneurial action, work effectively in diverse teams, and align their development with the EntreComp framework. The tool also provides a starting point for guided support from educators or mentors.",
EUEI,12,Entrepreneurial Mindset Video Toolkit,Fostering an Entrepreneurial Mindset & Culture,"Entrepreneurial Mindset Video Toolkit supports students, educators, and early-stage entrepreneurs in exploring key human skills like emotional intelligence, ethics, and inclusion—beyond business basics—to build a more responsible and resilient entrepreneurial mindset.","Traditional entrepreneurship education often overlooks mindset, ethics, and inclusion. This toolkit helps users explore these essential areas through curated video content. It builds awareness of emotional intelligence, ethical leadership, and diversity in modern entrepreneurial practice.",Internet access,Entrepreneurial Mindset Video Toolkit – Playlist Link,https://www.youtube.com/playlist?list=PLuGfWmFV-HaKJW1ShwspfNkXbcHicwB4A,,,,,,,"The Entrepreneurial Mindset Video Toolkit is aimed at students, educators, and early-stage entrepreneurs. It offers a curated selection of videos that explore the mindset needed for modern entrepreneurship. The toolkit highlights emotional intelligence, ethical leadership, adaptability, and inclusion—skills often overlooked in traditional business education. It encourages reflection, discussion, and integration into both teaching and independent learning.","This toolkit can be used directly or adapted by universities, educators, and trainers to support mindset development in entrepreneurship education.

1. Access the Video Toolkit
Share the YouTube playlist with students, educators, or early-stage entrepreneurs as part of a course, workshop, or independent learning activity.

2. Select Relevant Videos
Choose videos that match your learning objectives, such as emotional intelligence, ethics, sustainability, or inclusive innovation.

3. Watch and Reflect
Encourage users to watch the videos and reflect on the key messages. Use guided questions or reflection prompts where appropriate.

4. Facilitate Group Discussions
Use the videos as a basis for classroom or workshop discussion. Encourage participants to share perspectives and relate insights to their own entrepreneurial journey.

5. Link to Further Learning
Connect the content to Start-DSP or other learning resources to deepen understanding and support skill development.","Users develop a broader understanding of entrepreneurship that goes beyond finance and business planning. The toolkit raises awareness of key human-centred competencies such as emotional intelligence, ethics, adaptability, and inclusion. Learners become more reflective and better prepared to navigate real-world challenges with a responsible and resilient mindset. The videos also support more engaging and relatable entrepreneurship education, helping educators introduce complex topics through accessible content.",
