partner,number,name,purpose,summary,benefits,prerequisiteTools,link_1_title,link_1_url,link_2_title,link_2_url,link_3_title,link_3_url,link_4_title,link_4_url,description,instructions,outcomes,
TVW,13,Entrepreneurship Education Role Navigator,Entrepreneurship Education Planning & Financing,The Role Navigator helps non-business academics identify their potential contributions to entrepreneurship education. It increases institutional awareness and supports inclusive participation across disciplines through tailored role suggestions and personalized feedback.,"This tool helps non-business faculty explore how their disciplinary expertise, teaching approach, and interests align with entrepreneurship education. It clarifies roles such as mentoring or co-teaching and encourages broader interdisciplinary involvement in entrepreneurial initiatives.","Internet connection

Access to the online assessment

PDF reader for feedback report

10–15 minutes of participant time

Optional: internal workshop or mentoring session",Access to the Assessment,"https://thevisionworks.brilliantassessments.com/?external=Start-DSP%20Entrepreneurship%20Educator%20Roles
",,,,,,,"The Role Navigator is designed for non-business academics seeking to understand their role in entrepreneurship education. Through a short assessment, participants receive personalized feedback highlighting how their teaching style, interests, and disciplinary strengths can contribute to entrepreneurial learning. The tool encourages wider academic participation beyond traditional business faculties.","Share the assessment link with faculty through newsletters, training sessions, or onboarding materials.

Invite non-business academics to complete the short self-assessment (approx. 10–15 minutes).

Participants reflect on their discipline, interests, and current teaching methods.

Upon submission, each participant receives a personalized PDF feedback report.

Encourage participants to review suggested roles and consider concrete next steps (e.g., mentoring, co-teaching).

Optionally, host follow-up sessions to connect academics and discuss collaboration opportunities.","Broader engagement of non-business academics in entrepreneurship education

Increased interdisciplinary collaboration within universities

Enhanced role clarity and motivation among academic staff

Identification of faculty with high potential for entrepreneurial initiatives

Inclusion of diverse perspectives in entrepreneurship teaching and support",
TVW,14,Entrepreneurship Teaching Innovation Assessment,Entrepreneurial Awareness & Sensitization,"The Teaching Innovation Assessment supports university educators in exploring and applying entrepreneurship education formats. It provides personalized feedback to enhance teaching practices and foster student engagement with innovative, real-world methods.

","This tool helps educators assess their familiarity with and openness to entrepreneurship education formats. It identifies barriers, offers actionable guidance, and encourages adoption of methods like experiential and problem-based learning to support entrepreneurial thinking.

","Internet connection

Access to the online assessment link

PDF reader for feedback report

10–15 minutes of uninterrupted time

Optional: institutional follow-up or workshop facilitation",Access to the Assessment,https://thevisionworks.brilliantassessments.com/?external=Start-DSP%20Teaching%20Innovation%20Assessment,,,,,,,"The Teaching Innovation Assessment is designed for university educators across disciplines. It evaluates awareness, interest, and readiness to use entrepreneurship education formats, such as experiential and simulation-based learning. Participants receive tailored feedback and actionable suggestions to improve their teaching. The tool helps universities foster a more innovative and entrepreneurial teaching culture.","Access the assessment via the provided link (browser-based, no installation required).

Complete the questionnaire, which takes approximately 10–15 minutes.

Reflect honestly on your current familiarity, interests, and challenges related to entrepreneurship education formats.

Submit your responses to generate a personalized PDF feedback report.

Download the report.
Review the feedback, including section-by-section insights and suggested next steps.

Use the results to identify areas for growth, discuss with colleagues, or inform institutional training efforts.

","Increased educator awareness of diverse entrepreneurship formats

Greater adoption of innovative, student-centered teaching methods

Enhanced student engagement in entrepreneurial learning

Identification and reduction of implementation barriers

Cross-disciplinary dialogue around teaching innovation

Institutional insights for professional development planning",
TVW,15,Sustainable Business Model Canvas,Entrepreneurship Education Planning & Financing,"The Sustainable Business Model Canvas helps university educators integrate sustainability into business model teaching. It enables students to design business models that combine economic, social, and environmental value.","The Sustainable Business Model Canvas supports educators in teaching sustainable entrepreneurship. It helps students understand how to integrate social and environmental aspects into business planning, fostering responsible innovation and long-term value creation through structured, practice-based learning.







","Sustainable Business Model Canvas template (print or digital)

Facilitation guide with key questions and instructions

Case studies on sustainable business practices

Markers, post-its, whiteboard (for in-person workshops)

Digital collaboration tools (e.g., Miro, MURAL) – optional",Canvas Template,https://start-green.net/documents/8790/SBC_EN.pdf,Facilitator Instructions,https://start-green.net/documents/8789/Tiemann-Fichter-Workshopkonzept-EN-RZ2_2018.pdf,Tool Overview,,,,"The Sustainable Business Model Canvas Guideline is designed for educators in entrepreneurship, business, and sustainability. It supports the integration of sustainability principles into teaching by providing a structured method for analyzing and developing business models that generate economic, environmental, and social value. The tool helps students understand the broader impact of entrepreneurial decisions and equips them with practical skills to design responsible, future-oriented ventures.","Step 1: Preparation
•	Introduce the Business Model Canvas as a base framework.
•	Present the SBMC and explain its extended purpose.
•	Discuss sustainability dimensions and the relevance for business strategy.
•	Distribute blank SBMC templates (physical or digital).
Step 2: Business Model Development
•	Ask students to develop or refine a business idea using the SBMC.
•	Use guiding questions for each building block.
•	Work in teams to complete the canvas collaboratively.
Step 3: Presentation & Feedback
•	Each team presents their SBMC to peers or mentors.
•	Encourage reflection on the feasibility and impact of the business model.
•	Provide structured feedback using sustainability and viability criteria.
","Students design business models that integrate environmental and social dimensions.

Learners develop a systems-thinking approach to entrepreneurship.

Increased awareness of sustainability trade-offs in business planning.

Improved ability to critically assess long-term business impact.

Enhanced teamwork and communication skills through collaborative modeling.

Educators gain a structured method for teaching sustainable entrepreneurship.

Universities foster a culture of responsible innovation.",
MMS,16,"SDG Framework for Entrepreneurship
",Sustainable & Impact-Driven Entrepreneurship,"The SDG Framework Tool helps universities align entrepreneurship and sustainability goals, offering a clear structure to integrate SDG-linked objectives into education, research, operations, and partnerships.","The tool supports third-level institutions in mapping strategies to the SDGs, designing sustainability-driven programs, and measuring impact. It strengthens collaboration between academia, industry, and communities, promoting innovative solutions to real-world sustainability challenges.",1. An electronic device with WI-FI for App download and user capability ,STEP 1 - SDG Framework (Introduction),,STEP 2 - SDG Framework (Examples of Application),,STEP 3-  SDG Framework (Resources and Supports),,,,"The SDG Framework Tool is designed for universities to integrate the UN Sustainable Development Goals across teaching, research, operations, and outreach. It provides practical guidance, metrics, and resources to evaluate impact, prioritise actions, and drive sustainable entrepreneurship. Tools like the SDG Impact Assessment and SDG Compass support implementation, with real-world case studies showcasing successful integration.
","Review the ""Getting Started with SDGs in Universities"" guide for foundational strategies.

Map institutional activities to relevant SDGs using the SDG Compass.

Use the SDG Impact Assessment Tool to evaluate current impact.

Align curricula, research, and partnerships with identified goals.

Apply findings to develop targeted actions, policies, and innovations.","Clear SDG-aligned strategy and goals.

Sustainable innovation in curricula and research.

Enhanced university-industry-community collaboration.

Improved ability to measure and communicate impact.","Please add this other resource and link Angela 
Times Higher Education Impact Rankings (Optional)
While not a tool per se, these rankings help universities benchmark their progress toward the SDGs.
https://www.timeshighereducation.com/impactrankings"
MMS,17,"Stakeholders Radar AI 
","Staff & Faculty Motivation, Incentives & Recognition","Stakeholders Radar AI uses real-time analytics to help universities identify, understand, and engage key stakeholders, improving collaboration, decision-making, and risk management.","The tool enhances stakeholder visibility and engagement through AI-driven sentiment analysis, mapping, and predictive insights. It helps universities foster trust, allocate resources effectively, and anticipate risks or opportunities in partnerships and institutional strategy.",1. An electronic device with WI-FI for App download and user capability ,STEP 1 Stakeholders Radar AI Tool (Introduction),,STEP 2 Stakeholders Radar AI Tool (Our Top 3 Tools),,STEP 3 Stakeholders Radar AI Tool (How to Use),,STEP 4 Stakeholders Radar AI Tool (Resources and Supports),,"Stakeholders Radar AI is an advanced platform that maps, analyses, and tracks stakeholder influence within a university ecosystem. By leveraging AI technologies like natural language processing, sentiment detection, and predictive analytics, it provides real-time insights into stakeholder needs and dynamics. Universities can use it to improve partnerships, communication, and planning across academic, research, and community networks.","Input stakeholder data from emails, social media, surveys, and internal databases.

Use built-in AI to analyse sentiment, track engagement, and identify key influencers.

Visualise trends and patterns through real-time dashboards.

Adjust communication or engagement strategies based on predictive insights.","Stronger engagement with students, staff, alumni, and partners.

Data-informed decisions on collaborations and funding.

Early warning of reputational or operational risks.

More efficient stakeholder management and resource allocation.",
MMS,18,"Knowledge Sharing Platforms
",Fostering an Entrepreneurial Mindset & Culture,"Digital knowledge sharing platforms connect educators, researchers, and staff across universities, enabling seamless collaboration, resource exchange, and professional learning in real time or asynchronously.","These platforms enable collaboration across departments, support co-creation of teaching materials, enable peer feedback, and improve access to shared expertise. They are vital for enhancing innovation, alignment, and institutional memory in cross-university initiatives.",1. An electronic device with WI-FI for App download and user capability ,STEP 1 - Introduction Knowledge Sharing Platform,,STEP 2 - Compare Knowledge Sharing Platforms,,,,,,"Digital knowledge sharing platforms—like Moodle, Teams, Slack, and LinkedIn—enable universities to centralise communication, share resources, and coordinate learning, teaching, or research activities. Whether hosting discussions, storing materials, or collaborating on projects, these tools break down silos and improve efficiency, accessibility, and knowledge continuity across staff, departments, and global partnerships.","Set up accounts for staff and define team spaces (e.g., by faculty, theme, or project).

Upload shared resources (docs, templates, guides).

Use discussion threads or chat channels for topic-based collaboration.

Schedule knowledge-sharing sessions or regular updates.","Improved collaboration between faculty and admin.

Faster feedback loops and shared decision-making.

Better access to institutional knowledge and digital assets.

Enhanced engagement in cross-disciplinary or Erasmus+ projects.","""Please add this other resource and link Angela 
Mighty Networks for building private online communities for educators, researchers, and cross-institutional teams. Ideal for creating branded, interactive spaces to share resources, host discussions, and strengthen engagement across Erasmus+ projects, faculties, or thematic networks.  https://www.mightynetworks.com"
UNEAT,19,"Startup Expenses
",Entrepreneurship Education Planning & Financing,The Startup Expenses helps non-business students and university professors get an overview of concepts such as initial investment and sources of funding for startup ideas.,The main benefit of this tool is to provide a general idea to non-business students and university professors about the initial expenses necessary to carry out a business idea.,Excel with Macros activated,Startup Expenses Simulator,https://www.score.org/resource/template/startup-expenses,Recommendations for using the tool,,,,,,"Startup Expenses Excel Tool is designed for entrepreneurs and small business owners to effectively plan and manage their initial financial needs. It provides a structured template to track capital sources (investments, loans), categorize startup costs (real estate, equipment, inventory), and calculate totals automatically. By offering a clear overview of funding and expenses, it helps users make informed decisions, secure financing, and ensure financial preparedness for a successful business launch. ","1.	Open the document and analyze the concepts and sections, do any or most of them seem familiar to you?
2.	Enter your sources of capital as close to reality as possible. You should not exaggerate or minimize anything
3.	Enter your initial expenses and consider all the aspects included in your business idea, do not minimize any of them
4.	Verify that all information is reliable and completeand that you have not made a mistake with quantities or concepts.
5.	Analyze the initial status of your start up, Would you like to make the investment, did you imagine something different?
6.	Decide and discuss with your classmates and your teacher whether the idea is feasible or not
","Enhanced Financial Literacy – Users gain a clearer understanding of startup costs, helping them manage budgets effectively even without prior business education.

Practical Business Planning Skills – Students and professors learn to outline and categorize expenses, making entrepreneurial ideas more feasible and structured.

Confidence in Launching Ventures – By systematically estimating costs, users reduce financial uncertainty and feel more prepared to start side projects or small businesses.

Interdisciplinary Application – Non-business users (e.g., engineers, artists, scientists) can apply the tool to assess costs for research projects, creative ventures, or tech prototypes.

Improved Grant/Funding Proposals – Professors and students can use the template to justify expenses when seeking university grants, sponsorships, or crowdfunding for innovative initiatives.",
UNEAT,20,"Loan Calculator
",Entrepreneurship Education Planning & Financing,The Loan Calculator helps non-business students and university professors to get a general idea of what is involved in applying for an interest-bearing loan for entrepreneurship ideas.,The main benefit of this tool is to provide a general idea to non-business students and university professors about the interest-bearing loans for entrepreneurship ideas,,Loan Calculator,https://www.calculator.net/loan-calculator.html,Recommendations for using the tool,,,,,,"The Loan Calculator helps entrepreneurs and small business owners plan financing by estimating monthly payments, interest costs, and repayment timelines for business loans. It enables better cash flow management, loan comparison, and budgeting, ensuring informed decisions when securing capital for growth, equipment, or startup costs.","1.	Open the tool and analyze the concepts and sections, do any or most of them seem familiar to you? ¿Did you know the interest rates?
2.	Enter the amount of money that, hypothetically, you would need for your business idea. It is always advisable to put a slightly higher amount than calculated in case there are cost overruns, but no more than 5 or 10%.
3.	Enter the interest rate and other fees charged by the bank. You can do a simulation and go to the interest page of a bank you know, in the business section, what rates do they offer for businesses, if you do not find the information, you can ask an AI what is the interest rate that banks usually give in the region where you live.
4.	With your teacher and colleagues, analyze the figure obtained and decide whether or not to purchase the loan based on the other financial projections. If after a few years the money is too high or you think you won't be able to cover the dues with sales, it may not be the best idea for you.
","Informed Borrowing Decisions – Users can compare loan options (student loans, research funding, equipment financing) to understand repayment terms, interest rates, and total costs before committing.

Budgeting for Academic Projects – Helps professors and students estimate loan feasibility for research initiatives, conference travel, or lab equipment by projecting monthly payments within grant or personal budgets.

Debt Management Awareness – Students learn to evaluate long-term impacts of loans (e.g., for tuition or startup costs), fostering responsible financial habits early in their careers.

Simplified Financial Planning – Non-business users gain clarity on amortization schedules and interest effects without needing advanced finance knowledge, making loans less intimidating.

Resource Optimization – Researchers and creatives can assess whether leasing/borrowing for tools (e.g., lab devices, art supplies) is cost-effective compared to upfront purchases.",
UNEAT,21,"Financial Projections Template
",Entrepreneurship Education Planning & Financing,The Financial Projections Template helps non-business students and university professors to learn basic financial concepts for the development of a venture idea.,The main benefit of this tool is to provide a general idea to non-business students and university professors about financial concepts for the development of a venture idea.,Excel with Macros activated,Financial Projections,https://www.score.org/resource/template/financial-projections-template,Recommendations for using the tool,,,,,,"The Financial Projections Template is designed to provide those starting a business or already running a business with information that will allow them to make a ""go /no-go"" decision. It will help a potential entrepreneur project operating profit, develop a projected income statement, balance sheet and  cash flow forecast.
","1.	Open the document and analyze the concepts and sections, do any or most of them seem familiar to you? Don't be overwhelmed if it seems too complicated at first, it is normal not to know some concepts.
2.	Read the instructions of the document and put only the information that you think you know and are sure, it is not necessary to fill in all the sections.Enter the amount of money the, hipotéticamente, thebank will lend you.
3.	Make adjustments to the predictions and fill in sheet by sheet until you obtain the necessary information.
4.	It is advisable to review the following Youtube videos for a better understanding of the tool:
A) How to analyze an income statement - Walmart example (case study) (all videos)
B) financial statements: all the basics in 8 MINS!
","Basic Financial Forecasting Skills – Users learn to project revenues, expenses, and cash flow, even without a finance background, helping them plan research projects, startups, or creative ventures more effectively.

Realistic Budget Planning – Students and professors can avoid financial pitfalls by anticipating costs and income, ensuring their academic or passion projects remain sustainable.

Stronger Grant & Funding Applications – By presenting well-structured financial projections, users improve their chances of securing university grants, sponsorships, or investor backing for innovative ideas.

Interdisciplinary Business Awareness – STEM, arts, and humanities users gain practical insights into financial planning, bridging the gap between their expertise and real-world project viability.

Confidence in Entrepreneurial Pursuits – The template demystifies financial planning, empowering non-business users to confidently explore side hustles, social enterprises, or commercialization of academic work.",
MC,22,"""Mission Possible"" Role-Play Board Game for Entrepreneurial Thinking & Impact",Fostering an Entrepreneurial Mindset & Culture,"Mission Possible is an interactive role-play simulation board game where students take on startup roles and navigate real-world sustainability, digital, and ethical dilemmas. Aligned with EntreComp, GreenComp, and DigiComp, it turns classrooms into entrepreneurial adventure labs.","Most entrepreneurship teaching is theory-heavy and lacks emotional engagement. Mission Map introduces gamified learning to simulate real-world uncertainties, enabling learners to practice collaboration, critical thinking, and resilience in complex startup environments.","Printer & scissors or a digital whiteboard tool (Miro/Mural/Canva)
Tokens
Timer
Projector (optional for displaying questions)",Facilitation Guide,,Board,,Cards,,Reflection Sheet,,"Mission Possible is a printable or digital board-game-style resource for university-level entrepreneurship classes. Students are split into small startup teams and assigned a fictional mission (e.g. launch a green app, solve a food waste problem). As they progress, they encounter cards presenting real-life challenges like:
Choosing between profit and ethics,
Dealing with team conflict,
Deciding whether to use generative AI tools, etc.","1.	Form startup teams (3–5 students)
2.	Assign each group a Mission Card (e.g. “You are building an AI-based recycling app for Gen Z users.”)
3.	Distribute role cards randomly to each member of the team. 
4.	Each round, teams roll the dice and move their token forward on the Mission Possible board. If they land on a space marked with a thematic icon, they must draw a Challenge Card from the corresponding deck.
5.	Teams draw Challenge Cards from 3 thematic decks:
o	Digital dilemmas (DigiComp)
o	Green & social impact issues (GreenComp)
o	Business strategy decisions (EntreComp)
6.	Teams read the card aloud and discuss for 10 minutes which decision to take — considering their roles and mission.
7.	Once the team reaches the END, they pitch how they navigated their journey
8.	Educator leads guided reflection using the Team Reflection Sheet

Note: Please find extensive instructions at the Facilitation Guide
","Improved ability to handle entrepreneurial uncertainty
Greater understanding of how ethics, sustainability, and digitalization interact in entrepreneurship
Strengthened collaborative and reflective learning
","Resource 4:
Reflection Sheet
https://aceeu.sharepoint.com/:b:/r/sites/Start-DSP/Shared%20Documents/General/4_%20Work%20Packages/WP2%20Research%20and%20Toolbox/2.7%20Toolbox%20Development/MC/NEW%20TOOLS%20Iliana-Vangelis/MC1_Mission%20Possible/2.%20TOOL%20MC1_Board.pdf?csf=1&web=1&e=a1J9ba"
MC,23,Venture Ethically,Sustainable & Impact-Driven Entrepreneurship,"Venture Ethically is a project-based toolkit for educators and student innovation hubs to engage learners in adapting ethical, inclusive business ideas to real-world community needs through structured design thinking and peer reflection.","This tool addresses the challenge of teaching business ethics in action by having students localize and adapt youth-led ventures with clear give-back plans. It promotes entrepreneurial empathy, social responsibility, and sustainability from idea to pitch.","Printer & scissors or a digital whiteboard tool (Miro/Mural/Canva)
Tokens
Timer
Projector (optional for displaying questions)",Venture Ethically - Digital Project Guide for Teachers,,Venture Ethically - Digital Project Material,,Start-ups List,,,,"Venture Ethically is a flexible project-based toolkit that enables students to adapt youth-friendly business ideas to specific community challenges using a structured ethical innovation process. Participants choose ventures from a curated list, apply local constraints, define their give-back strategy, and complete worksheets and canvas activities. They then pitch their adapted idea and receive feedback from peers and educators.","1. Students are assigned a start-up and a community profile.
2. Using the workbook and canvas, they adapt the venture ethically and inclusively.
3. They prepare and deliver a pitch.
4. Peer and teacher feedback is collected using the assessment sheets.
5. Educators support the process via the Digital Project Guide.","Understanding of ethical entrepreneurship and inclusive innovation
Practical application of social impact principles
Peer-to-peer evaluation and reflective learning
Strengthening of EntreComp and GreenComp dimensions
Awareness of community engagement and give-back strategies",
MC,24,CSI: Failed Startups Division,Entrepreneurial Awareness & Sensitization,"CSI: Failed Startups Division is a gamified investigation tool for entrepreneurship educators and university innovation centers. Participants act as forensic analysts, solving real-world startup failures using research, reasoning, and collaborative case reporting.","This tool transforms the analysis of startup failure into a Cluedo-style experience. Participants learn to investigate real failed ventures, identify red flags, and understand ethical and strategic breakdowns in entrepreneurship. Engages learners through storytelling and roleplay.","Printer or a digital whiteboard tool 
Projector (optional for displaying questions)",CSI Failed Startups Division - Digital Guide for Facilitators,,CSI:Failed Startups Division – Project Materials ,CSI Failed Startups Division - Project Materials,,,,,"CSI: Failed Startups Division is an interactive, scenario-based activity where participants become startup detectives. Using real failure cases, learners analyze cause-of-death factors like market misfit, financial mismanagement, or ethical lapses. The toolkit builds strategic thinking, curiosity, and resilience through an immersive, research-led process guided by investigation templates and scoring rubrics.","Each team receives a startup “Cold Case”.
Using the Agent Template, they investigate the case online.
They complete a report outlining the cause of failure, red flags, and potential alternative strategies.
Cases are presented in class with peer or teacher feedback using the scoring rubric.","Enhanced critical thinking and failure analysis
Entrepreneurial reflection on real-world challenges
Exposure to ethical and strategic decision-making
Strengthening of EntreComp, GreenComp, and DigiComp dimensions
Engaged, student-led research and reporting",
