Number,Name,Summary,Challenge,Purpose,Description,Ease,Impact,Type,Maturity,Resources,Outcomes,Instructions,Link Title 1,Link URL 1,Link Title 2,Link URL 2,Link Title 3,Link URL 3
12,Sensitisation for Entrepreneurship ?,A curated video toolkit designed to help individuals develop an entrepreneurial mindset beyond finance and business operations. ,"Many aspiring entrepreneurs and educators lack exposure to the broader mindset required for success, including emotional intelligence, social responsibility, and inclusion. Traditional entrepreneurship education often focuses on business models and financial skills but overlooks the human-centred aspects that drive long-term, ethical, and sustainable success.?","This curated Entrepreneurial Mindset Video Toolkit helps individuals understand and develop key entrepreneurial skills beyond finance and operations. It highlights the importance of self-awareness, adaptability, ethical leadership, and inclusive innovation in modern entrepreneurship.?","The Entrepreneurial Mindset Video Toolkit is a curated playlist of educational videos designed to support universities, educators, and students in exploring the mindset required for entrepreneurship. The videos showcase:?
• The role of emotional intelligence and adaptability in business success.?
• How entrepreneurs integrate ethical and sustainable practices into their ventures.?
• The impact of diverse perspectives and inclusion in driving innovation.?
• Practical advice and real-world insights from experienced entrepreneurs and educators.",High,Medium,Tactical,Low,"Access to the curated video playlist.?
Engagement from educators, students, and entrepreneurs to discuss and reflect on the content.?","Greater awareness of essential entrepreneurial competencies beyond finance and operations.? Stronger understanding of emotional intelligence, ethics, and diversity in business success.? Enhanced engagement in entrepreneurship education through dynamic and relatable content.?Better preparation for real-world entrepreneurship, ensuring a well-rounded entrepreneurial mindset.?","ACCESS THE PLAYLIST ?
Share the YouTube playlist with students, educators, and early-stage entrepreneurs.?
Encourage users to engage with the content as part of structured learning or independent exploration.?
WATCH & REFLECT ?
View selected videos covering entrepreneurial mindset, ethics, and diversity.?
Reflect on key takeaways and their relevance to real-world entrepreneurship.?
INTEGRATE INTO LEARNING ACTIVITIES?
Educators can use the videos to facilitate discussions in courses or workshops.?
Universities can integrate the content into entrepreneurship awareness programmes.?
APPLY LEARNINGS?
Encourage users to apply insights to their entrepreneurial journey.?
Link videos to Start-DSP learning resources for deeper exploration.",Playlist,https://www.youtube.com/playlist?list=PLuGfWmFV-HaKJW1ShwspfNkXbcHicwB4A,,,,
13,SDG Framework in Sustainable Entrepreneurship?,"A structured framework designed to help universities integrate the United Nations Sustainable Development Goals (SDGs) into entrepreneurial education, research, and institutional strategies.","Universities lack the proper linkages, frameworks, and alignment with SDGs in sustainable entrepreneurship.  ?","The SDG framework is designed to assist universities, departments, and faculties in aligning their orientation strategies for sustainable entrepreneurship with the United Nations Sustainable Development Goals (SDGs). It provides a structured approach to integrating SDG-linked objectives into entrepreneurial education, research, and practice, ensuring relevance to global sustainability challenges. Users can integrate SDG-linked objectives into entrepreneurial education, research, and institutional practices. Its primary objective is to ensure relevance to global sustainability challenges in academic settings.?","A structured framework that assists academic institutions in embedding sustainability principles into entrepreneurial education, research, and operational strategies. The SDG Framework provides guidelines, best practices, and methodologies for implementing SDG-driven initiatives. Helps in curriculum development, faculty training, and research alignment with sustainability goals and encourages interdisciplinary collaboration and multi-stakeholder engagement in sustainable entrepreneurship.?",Moderate to Challenging,High,"Strategic, Tactical and Operational",High,"Human Resources with knowledge in SDGs, sustainability and entrepreneurship. Financial Budget for training, curriculum redesign and digital tools. Funding for projects and implementation. Digital and Technical Resources as previously explained. Educational Materials such as Case Studies in SDG integration in entrepreneurship, guidelines for best practice and open access research.  ?","Short-Term: Awareness and understanding of how SDGs integrate into academic entrepreneurship. Faculty and student engagement in sustainability-driven projects. Medium-Term: Development of SDG-aligned entrepreneurship programs. Increased institutional participation in SDG-driven research. Establishment of sustainability-focused incubators or innovation hubs. Long-Term: Higher global ranking in sustainability for institutions. Growth in impactful, sustainability-focused startups. Strengthened partnerships with government, businesses, and NGOs.?","1.Understand the SDG Framework: Review SDG goals and their relevance to entrepreneurship. Explore case studies of universities successfully implementing SDGs.?
2.Assess Institutional Readiness: Conduct a self-assessment of how well the institution currently integrates SDGs. Identify gaps in education, research, and practice.?
3.Develop an Implementation Plan: Align entrepreneurship curricula with SDGs. Design faculty training programs. Set up research initiatives focused on sustainability.?
4.Engage Stakeholders: Collaborate with students, businesses, NGOs, and government agencies. Establish advisory boards or working groups. ?
5.Monitor and Measure Impact: Use SDG impact assessment tools. Publish progress reports and case studies. Continuously improve strategies based on feedback.?",Tool,https://aceeu.sharepoint.com/:p:/s/Start-DSP/EX7HoKztAVNBkNVgrrGyzU0BAy7LNnigZ0eCCr7ZA6MgeA?e=JmdSe1,,,,
14,Stakeholders Radar AI?,"An AI-powered tool that helps universities and organizations identify, analyze, and engage key stakeholders in SDG-related projects.","Stakeholder Complexity: Helps universities and organizations identify and analyze key stakeholders (students, faculty, industries, policymakers) in SDG-related projects. Alignment with SDGs: Ensures institutional policies and programs are aligned with sustainability goals. Decision-Making Support: Provides AI-driven insights for informed decision-making and engagement strategies.?","To leverage AI in stakeholder mapping, engagement, and strategic decision-making, ensuring universities effectively integrate SDGs into their entrepreneurship, education, and research activities.?","Stakeholders Radar/AI is an AI-powered tool that identifies key stakeholders within HEIs and broader communities. It provides data-driven insights into their interests, influence, and engagement potential, helping universities align their sustainability strategies with relevant partners.?",Moderate,High,Strategic & Tactical,Emerging to advanced,"AI and data analytics software. Institutional support and governance framework. Training for faculty, students, and administrators. Data integration and ethical AI compliance.?","Improved Stakeholder Engagement: Universities will have a clear understanding of key stakeholders in SDG-related initiatives.?Enhanced Decision-Making: AI-generated insights will support better sustainability strategies.? Increased Collaboration: Institutions can foster partnerships with industry, policymakers, and communities.?","1.Access the Tool: Log into the AI-based platform using university credentials.?
2.Input Data: Provide information on stakeholders, including faculty, students, industry partners, and government entities.?
3.Run AI Analysis: The system will map out stakeholders based on influence, interest, and potential collaboration opportunities.?
4.Review Insights: Users can visualize stakeholder networks, engagement metrics, and strategic alignment with SDGs.?
5.Develop Strategies: Use AI-generated recommendations to improve collaboration, policies, and sustainability initiatives.?
6.Monitor & Evaluate: Continuously assess engagement and adjust strategies as needed.?",Tool,https://aceeu.sharepoint.com/:p:/s/Start-DSP/EX7HoKztAVNBkNVgrrGyzU0BAy7LNnigZ0eCCr7ZA6MgeA?e=pkyQ0h,,,,
15,Digital Knowledge-Sharing Platform,"An online platform designed to facilitate knowledge exchange, networking, and mentorship among students, faculty, and entrepreneurs.","Lack of structured, accessible spaces for entrepreneurs within HEIs to share experiences, failures, and lessons learned.?","To create a digital space for knowledge exchange, networking, and mentorship among students, faculty, and entrepreneurs.?","A digital platform (online forum, discussion board, or collaborative workspace) where entrepreneurs can share insights, challenges, case studies, and best practices. It promotes engagement, mentorship, and learning from real-world experiences.?",Moderate,High,Strategic,Emerging to Established,"Technical Infrastructure: A hosting platform (self-hosted or SaaS-based). ?
Moderators: To ensure productive discussions and filter spam. ?
Content Strategy: Guidelines, discussion topics, engagement plans. ?
Marketing & Promotion: To onboard users and sustain activity.?",Increased peer-to-peer learning and collaboration. Better knowledge transfer of success and failure stories. Stronger entrepreneurial mindset among students and faculty. Higher participation in startup incubators and innovation challenges. Improved networking and mentorship connections.?,"1.Sign Up: Create an account on the platform.?
2.Join Relevant Topics: Browse categories such as startup funding, product development, failure stories, etc.?
3.Engage with the Community: Ask questions, share experiences, provide feedback.?
4.Connect with Mentors: Reach out to experienced entrepreneurs for guidance.?
5.Attend Virtual Events: Participate in webinars, discussion panels, and live Q&A sessions.?
6.Contribute & Learn: Post success stories, lessons learned, and industry insights.?",Tool,https://aceeu.sharepoint.com/:p:/s/Start-DSP/EdWdViW139FDpEhryJKBIRoBsQs0Pi0UOYveywjA_jG4rg?e=WG41Wu,,,,
16,Role Navigator for Non-Business Academics in Entrepreneurship Education?,An assessment tool designed to help non-business academics discover their potential roles in entrepreneurship education. ,"on-business academics often lack clarity on their potential roles in entrepreneurship education, and universities face challenges identifying faculty with high potential to contribute to entrepreneurial initiatives. ?",This tool helps non-business academics discover their unique roles and pathways to engage in entrepreneurship education.?,"The Role Navigator is an assessment tool designed to explore the strengths, teaching styles, and interests of non-business academics in relation to entrepreneurship education. It identifies opportunities for engagement, such as mentoring, facilitating workshops, or contributing to curriculum innovation. Participants receive a personalized feedback report outlining actionable steps and tailored resources to align their expertise with entrepreneurship education initiatives.?",Easy,Low,Strategic,Low,Internet Connection / PDF Reader / 10-15 Minutes time ?,Increased awareness among non-business academics about their potential contributions to entrepreneurship education.? Broader involvement of diverse disciplines in entrepreneurship initiatives.? Enhanced interdisciplinary collaboration within universities.? Development of innovative and inclusive approaches to entrepreneurship education.?,"1.Share the assessment link with non-business academics through internal communications, training sessions, or professional development programs.?
2.Participants complete the assessment by answering questions related to their familiarity, interest, and perceived barriers to entrepreneurship education formats.?
3.Personalized feedback reports are automatically generated, providing tailored insights and actionable recommendations.?
4.Educators review their feedback and identify next steps, such as exploring specific formats, attending workshops, or collaborating with colleagues.?
5.Optional: Organize workshops or networking sessions to connect academics with entrepreneurship education resources and opportunities.?",Assessment,https://thevisionworks.brilliantassessments.com/?external=Start-DSP%20Entrepreneurship%20Educator%20Roles?,,,,
17,Teaching Innovation Assessment: Entrepreneurship Education Formats?,"An assessment tool designed to help educators evaluate their familiarity, interest, and readiness to implement diverse entrepreneurship education formats.",Educators often lack clarity on effective entrepreneurship education formats and face challenges in adopting innovative teaching methods.?,"This tool helps assess their familiarity, interest, and readiness to implement diverse teaching formats, while identifying barriers and providing actionable recommendations.?","The tool guides educators through an assessment that evaluates their current awareness, interest, and potential challenges in implementing entrepreneurship education formats such as experiential learning, problem-based learning, and simulation-based learning. Participants receive a personalized feedback report with tailored insights and practical suggestions to enhance their teaching practices and foster entrepreneurial skills in their students.?",Easy,Medium,Tactical,Low,Internet Connection / PDF Reader / 10-15 Minutes time ?,Increased educator awareness of diverse entrepreneurship education formats.?Enhanced adoption of innovative teaching methods aligned with entrepreneurship education.?Improved student engagement and skill development in entrepreneurial thinking.?Expanded interdisciplinary collaboration among educators. ?,"1.Share the assessment link with educators through internal communications, training sessions, or professional development programs.?
2.Educators complete the assessment by answering questions related to their familiarity, interest, and perceived barriers to entrepreneurship education formats.?
3.Personalized feedback reports are automatically generated, providing tailored insights and actionable recommendations.?
4.Educators review their feedback and identify next steps, such as exploring specific formats, attending workshops, or collaborating with colleagues.?
5.Optional: Host follow-up sessions to discuss results, share best practices, and support educators in implementing the suggested formats. ?",Assessment, https://thevisionworks.brilliantassessments.com/?external=Start-DSP%20Teaching%20Innovation%20Assessment,,,,
18,Sustainable Business Model Canvas?,"A structured framework designed to help educators integrate sustainability into business model innovation. Based on the Business Model Canvas, it expands to include environmental and social responsibility, guiding students in developing sustainable business strategies through interactive workshops and practical exercises.",Educators often face challenges in integrating sustainability into business education and entrepreneurship training. ?,The Sustainable Business Model Canvas (SBMC) Guideline provides a structured framework to help educators teach business model innovation with a strong sustainability focus. It enables students to develop business models that align economic success with environmental and social responsibility.?,"The Sustainable Business Model Canvas (SBMC) Guideline is designed to support educators and trainers in integrating sustainability-driven business modeling into their courses, workshops, and training programs.It builds upon the Business Model Canvas by Osterwalder & Pigneur, expanding it to include sustainability aspects such as stakeholder impact, environmental responsibility, and long-term value creation. The guideline provides a structured methodology, facilitation strategies, and key questions to help educators guide students in systematically developing sustainable business models.Educators can use this guideline to facilitate interactive workshops, classroom discussions, and business modeling exercises, helping students and entrepreneurs understand how sustainability principles can be embedded into business strategy from the outset.?",Moderate,Medium,Operational,Medium,"Sustainable Business Model Canvas template (printable or digital).?
Facilitation guide with sustainability-focused discussion prompts and exercises.?
Post-its, pens, and whiteboards (for in-person workshops).?
Digital collaboration tools (optional) for hybrid/remote learning.? Access to case studies on sustainable business models. ?",Educators integrate sustainability-driven business modeling into their teaching.?Students gain hands-on experience in developing sustainable business models.?Entrepreneurship education aligns with real-world sustainability challenges.?Workshops and courses become more interactive and practice-oriented.?Universities and incubators foster sustainability-minded entrepreneurs.?,"1.Introduce students to the Sustainable Business Model Canvas (SBMC) – Provide an overview of business model innovation with sustainability at its core.?
2.Facilitate business model development – Guide students in mapping out their business models using the SBMC framework, incorporating sustainability-specific questions.?
3.Encourage critical thinking – Use discussion prompts to explore how businesses can balance profitability with environmental and social impact.?
4.Promote iteration and refinement – Have students refine their business models through peer feedback and facilitator insights.?
5.Use the tool in structured workshops or classroom settings – The guideline can support both independent student work and interactive group sessions.?
6.Link to further resources – Provide case studies and additional analytical tools to deepen students’ understanding of sustainable business practices. ?",Link to the Sustainable Business Model Canvas Printable Template,https://start-green.net/documents/8790/SBC_EN.pdf,Facilitator Instructions,https://start-green.net/documents/8789/Tiemann-Fichter-Workshopkonzept-EN-RZ2_2018.pdf,,
19,Financial Projections Template?,"A Microsoft Excel workbook designed to help entrepreneurs and students generate financial projections for decision-making. It enables users to estimate operating profit, develop income statements, balance sheets, and cash flow forecasts to assess the financial viability of a venture.",Correctly calculating the financial projections of a new venture?,"Generate future financial information for decision making, based on the current information of an enterprise.?","This Microsoft Excel Workbook is designed to provide those starting a business or already running a business with information that will allow them to make a ""go /no-go"" decision. It will help a potential entrepreneur project operating profit, develop a projected income statement, balance sheet and  cash flow forecast.?",Easy,Medium,Operational,Medium,Excel sheet and inicial finance information?,"Make correct estimates of a venture's future financial performance?
Make investment decisions in a venture?
Perform financial analysis of a venture?",,Financial Projections,https://www.score.org/resource/template/financial-projections-template,Recommendations for using the tool,https://aceeu.sharepoint.com/:p:/r/sites/Start-DSP/_layouts/15/Doc.aspx?sourcedoc=%7BE9E04F0B-17CC-4E47-8960-7BD9375FEE65%7D&file=Financial%20Projections%20Template.pptx&action=edit&mobileredirect=true,,
20,Loan Calculator?,"A financial calculator designed to help students and entrepreneurs analyze the total cost, interest, and repayment terms of different loan types. It enables users to compare financing options, assess financial implications, and make informed decisions before acquiring a loan",Correctly calculating interest and the total amount of an interest-bearing loan?,Analyze the financial implications of acquiring an interest-bearing loan for entrepreneurship.?,"It is a financial calculator capable of calculating the total cost of a loan, the terms and other important considerations before making the decision to acquire it. Different scenarios on calculations and financial amounts can be found in the tool:?
- Amortized Loan: Paying Back a Fixed Amount Periodically?
- Deferred Payment Loan: Paying Back a Lump Sum Due at Maturity?
- Bond: Paying Back a Predetermined Amount Due at Loan Maturity?",Easy,Low,Operational,Low,Financial data of the business project?,Adequate financial calculations for loans?.Analysis for entrepreneur's decision making?.Comparison of best sources of financing?,"1.Enter the amount of money the bank will lend you.?
2.Enter the interest rate and other fees charged by the bank.?
3.Analyze the figure obtained and decide whether or not to purchase the loan based on the other financial projections.?",Calculator,https://www.calculator.net/loan-calculator.html,Recommendations for using the tool,https://aceeu.sharepoint.com/:p:/r/sites/Start-DSP/_layouts/15/Doc.aspx?sourcedoc=%7B7D94E2B9-9D10-4EC7-8A58-A488EC8BB4B5%7D&file=Loan%20calculator.pptx&action=edit&mobileredirect=true,,
21,Startup Expenses?,"A financial planning tool designed to help entrepreneurs estimate and manage startup costs effectively. It guides users in assessing initial expenses, contingency reserves, and working capital to ensure financial stability and improve decision-making when launching a business.",Many entrepreneurs have underestimated startup costs and faced the danger of running out of funding?,Effectively control and manage the initial costs of a start-up to steer the business towards success.?,"Rigorous approach and planning in the follow elements:?
Expenses: The estimation of expenses begins with meticulous consideration of the costs essential to launching the business. What will it cost to get the business up and running? ?
Contingencies: It is important to add a reserve for contingencies. The narrative should explain how the amount allocated to this reserve was determined. ?
Working Capital: Maintaining a cash cushion to meet expenses while the business starts and grows is a crucial step in ensuring financial stability. ?
Collateral: If this plan will be used to support a bank loan request, consider additional elements.?",Easy,Medium,Operational,High,List of expenses and bills?,Better initial financial projections for entrepreneurs betting on a start-up?. More financial literacy for students?,"1.Enter your sources of capital?
2.Enter your initial expenses?
3.Verify that all information is reliable and complete?
4.Analyze the initial status of your start up?",Simulator,https://aceeu.sharepoint.com/:x:/r/sites/Start-DSP/Shared%20Documents/General/2.%20Work%20Packages/WP2%20Research%20and%20Toolbox/2.4%20Research%20activities/UNEAT%20Report/Start-Up-Expenses_0%20(2).xlsx?d=wae72e0513f8846578bfc03f8d3f2cd5e&csf=1&web=1&e=fwIFhq,Recommendations for using the tool,https://aceeu.sharepoint.com/:p:/r/sites/Start-DSP/_layouts/15/Doc.aspx?sourcedoc=%7BA3D695FB-0A0E-48B0-8287-65A7EF3173EC%7D&file=Startup%20expenses.pptx&action=edit&mobileredirect=true,,
22,AI-Powered Digital Entrepreneurship Simulator Guide,A tool for entrepreneurial education in the Start-DSP project?,Many students struggle to apply digital business concepts and understand decision impacts.,"Provide a simulated environment to experiment with digital entrepreneurship strategies.?

?

?","An AI-driven simulator guide allowing users to create virtual business models, test sustainability and profitability, and receive AI-generated insights.?",none,High,Strategic and Operational,none,"Dgital entrepreneurship datasets, case study repository","Increased entrepreneurial mindset, ability to test and refine business ideas, and greater digital competency.","1. Log in to the AI simulator.?
2. Create or select a business model.?
3. Run simulations and receive AI feedback.",AI-Powered Digital Entrepreneurship Simulator Guide,https://iekakmi449-my.sharepoint.com/personal/euprojects_akmi-international_com/Documents/Projects/23-13%20ACEEU01%20Start-DSP/Deliverables/WP2.%20Entrepreneurial%20University%20Educators%20Package%20&%20Toolbox/A7.%20Toolbox%20Development/AI-Powered%20Digital%20Entrepreneurship%20Simulator%20Guide.pdf?CT=1740592016560&OR=ItemsView,,,,
23,Digital Learning Journey for International Entrepreneurs ,A tool for entrepreneurial education in the Start-DSP project?,International entrepreneurs struggle with local and digital entrepreneurship ecosystems.,"Provide a modular, interactive learning path for international entrepreneurs in the EU.","An interactive platform guiding users through legal, financial, and operational aspects of starting a business.",none,Medium - High,Strategic,none,"Multilingual digital platform, legal/business knowledge base.","Improved international business skills, reduced barriers for international entrepreneurs","1. Select your country of interest.?
2. Follow the step-by-step guide for entrepreneurship.?
3. Engage with mentors and AI-based assistance.",Digital Learning Journey for International Entrepreneurs,https://iekakmi449-my.sharepoint.com/personal/euprojects_akmi-international_com/Documents/Projects/23-13%20ACEEU01%20Start-DSP/Deliverables/WP2.%20Entrepreneurial%20University%20Educators%20Package%20&%20Toolbox/A7.%20Toolbox%20Development/Digital%20Learning%20Journey%20for%20International%20Entrepreneurs.pdf?CT=1740592028137&OR=ItemsView,,,,
24,Green Business Model Decision Tree?,A tool for entrepreneurial education in the Start-DSP project?,Entrepreneurs struggle to integrate green and digital aspects effectively.?,"Help navigate sustainable business decision-making with digital, economic, and environmental factors.?",A step-by-step digital decision tree providing personalized recommendations based on business parameters.?,Easy,High,none,none,"Interactive software, sustainability research database, AI-based recommendations","Clear guidance on sustainable entrepreneurship, enhanced entrepreneurial decision-making","1. Input business model parameters.?
2. Follow step-by-step guidance.?
3. Receive AI-driven recommendations.",Green Business Model Decision Tree,https://iekakmi449-my.sharepoint.com/personal/euprojects_akmi-international_com/Documents/Projects/23-13%20ACEEU01%20Start-DSP/Deliverables/WP2.%20Entrepreneurial%20University%20Educators%20Package%20&%20Toolbox/A7.%20Toolbox%20Development/Green%20Business%20Model%20Decision%20Tree.pdf?CT=1740592035074&OR=ItemsView,,,,
